,49330000,49340080,49370000,49660000,49705000,49740000,49775000
1959-05-06,,,1820.97,,1455.7,,
1959-05-07,,,1787.36,,1442.69,,
1959-05-08,,,1754.04,,1416.88,,
1959-05-09,,,1737.49,,1397.7,,
1959-05-10,,,1704.59,,1384.99,,
1959-05-11,,,1680.1,,1366.06,,
1959-05-12,,,1655.77,,1353.52,,
1959-05-13,,,1639.64,,1334.84,,
1959-05-14,,,1623.58,,1322.47,,
1959-05-15,,,1607.59,,1310.17,,
1959-05-16,,,1567.93,,1297.93,,
1959-05-17,,,1544.35,,1273.65,,
1959-05-18,,,1528.72,,1249.64,,
1959-05-19,,,1520.93,,1219.99,,
1959-05-20,,,1505.4,,1196.57,,
1959-05-21,,,1489.95,,1179.17,,
1959-05-22,,,1474.57,,1156.21,,
1959-05-23,,,1474.57,,1139.16,,
1959-05-24,,,1466.91,,1122.25,,
1959-05-25,,,1444.02,,1099.93,,
1959-05-26,,,1444.02,,1099.93,,
1959-05-27,,,1451.63,,1094.39,,
1959-05-28,,,1398.74,,1088.87,,
1959-05-29,,,1398.74,,1083.37,,
1959-05-30,,,1428.86,,1077.88,,
1959-05-31,,,1421.3,,1072.4,,
1959-06-01,,,1317.41,,1072.4,,
1959-06-02,,,1361.5,,1066.94,,
1959-06-03,,,1361.5,,1056.08,,
1959-06-04,,,1346.73,,1045.27,,
1959-06-05,,,1346.73,,1034.53,,
1959-06-06,,,1339.37,,1029.19,,
1959-06-07,,,1324.71,,1029.19,,
1959-06-08,,,1324.71,,1029.19,,
1959-06-09,,,1310.13,,1018.54,,
1959-06-10,,,1302.86,,1018.54,,
1959-06-11,,,1302.86,,1018.54,,
1959-06-12,,,1295.61,,1013.25,,
1959-06-13,,,1295.61,,1007.96,,
1959-06-14,,,1288.38,,997.448,,
1959-06-15,,,1281.17,,992.214,,
1959-06-16,,,1273.97,,992.214,,
1959-06-17,,,1273.97,,986.995,,
1959-06-18,,,1259.64,,986.995,,
1959-06-19,,,1259.64,,992.214,,
1959-06-20,,,1245.38,,992.214,,
1959-06-21,,,1238.28,,992.214,,
1959-06-22,,,1238.28,,992.214,,
1959-06-23,,,1224.13,,992.214,,
1959-06-24,,,1210.05,,992.214,,
1959-06-25,,,1231.19,,986.995,,
1959-06-26,,,1238.28,,986.995,,
1959-06-27,,,1238.28,,981.793,,
1959-06-28,,,1245.38,,976.606,,
1959-06-29,,,1217.08,,976.606,,
1959-06-30,,,1210.05,,976.606,,
1959-07-01,,,1224.13,,966.281,,
1959-07-02,,,1203.04,,961.142,,
1959-07-03,,,1196.04,,950.911,,
1959-07-04,,,1203.04,,940.743,,
1959-07-05,,,1196.04,,940.743,,
1959-07-06,,,1182.11,,935.683,,
1959-07-07,,,1182.11,,925.61,,
1959-07-08,,,1168.25,,925.61,,
1959-07-09,,,1168.25,,920.597,,
1959-07-10,,,1161.35,,920.597,,
1959-07-11,,,1161.35,,920.597,,
1959-07-12,,,1147.61,,915.6,,
1959-07-13,,,1127.12,,910.619,,
1959-07-14,,,1120.33,,905.653,,
1959-07-15,,,1133.93,,895.768,,
1959-07-16,,,1127.12,,895.768,,
1959-07-17,,,1113.56,,890.849,,
1959-07-18,,,1120.33,,895.768,,
1959-07-19,,,1106.8,,895.768,,
1959-07-20,,,1100.07,,890.849,,
1959-07-21,,,1100.07,,895.768,,
1959-07-22,,,1073.31,,895.768,,
1959-07-23,,,1079.97,,895.768,,
1959-07-24,,,1073.31,,890.849,,
1959-07-25,,,1073.31,,890.849,,
1959-07-26,,,1073.31,,885.946,,
1959-07-27,,,1073.31,,885.946,,
1959-07-28,,,1066.67,,876.186,,
1959-07-29,,,1053.44,,866.489,,
1959-07-30,,,1053.44,,861.663,,
1959-07-31,,,1046.85,,856.853,,
1959-08-01,,,1053.44,,852.059,,
1959-08-02,,,1053.44,,842.517,,
1959-08-03,,,1046.85,,837.769,,
1959-08-04,,,1033.73,,833.037,,
1959-08-05,,,1040.28,,833.037,,
1959-08-06,,,1033.73,,828.32,,
1959-08-07,,,1027.2,,828.32,,
1959-08-08,,,1033.73,,828.32,,
1959-08-09,,,1040.28,,828.32,,
1959-08-10,,,1040.28,,828.32,,
1959-08-11,,,1040.28,,828.32,,
1959-08-12,,,1027.2,,823.619,,
1959-08-13,,,1014.19,,823.619,,
1959-08-14,,,1007.72,,823.619,,
1959-08-15,,,982.0,,818.933,,
1959-08-16,,,988.401,,814.263,,
1959-08-17,,,982.0,,809.607,,
1959-08-18,,,994.821,,809.607,,
1959-08-19,,,982.0,,804.968,,
1959-08-20,,,982.0,,804.968,,
1959-08-21,,,982.0,,800.344,,
1959-08-22,,,969.254,,795.734,,
1959-08-23,,,962.909,,795.734,,
1959-08-24,,,950.275,,791.141,,
1959-08-25,,,950.275,,795.734,,
1959-08-26,,,950.275,,800.344,,
1959-08-27,,,943.986,,800.344,,
1959-08-28,,,950.275,,795.734,,
1959-08-29,,,950.275,,795.734,,
1959-08-30,,,931.465,,791.141,,
1959-08-31,,,925.233,,791.141,,
1959-09-01,,,931.465,,786.563,,
1959-09-02,,,925.233,,786.563,,
1959-09-03,,,925.233,,791.141,,
1959-09-04,,,919.019,,786.563,,
1959-09-05,,,912.824,,786.563,,
1959-09-06,,,906.648,,786.563,,
1959-09-07,,,888.233,,782.0,,
1959-09-08,,,900.491,,782.0,,
1959-09-09,,,912.824,,777.452,,
1959-09-10,,,950.275,,777.452,,
1959-09-11,,,919.019,,772.92,,
1959-09-12,,,888.233,,772.92,,
1959-09-13,,,869.989,,768.403,,
1959-09-14,,,863.945,,768.403,,
1959-09-15,,,888.233,,768.403,,
1959-09-16,,,869.989,,768.403,,
1959-09-17,,,882.133,,763.901,,
1959-09-18,,,804.551,,763.901,,
1959-09-19,,,804.551,,768.403,,
1959-09-20,,,876.051,,768.403,,
1959-09-21,,,851.914,,768.403,,
1959-09-22,,,804.551,,763.901,,
1959-09-23,,,816.277,,763.901,,
1959-09-24,,,816.277,,763.901,,
1959-09-25,,,816.277,,759.415,,
1959-09-26,,,828.08,,759.415,,
1959-09-27,,,804.551,,754.943,,
1959-09-28,,,804.551,,754.943,,
1959-09-29,,,787.104,,759.415,,
1959-09-30,,,787.104,,763.901,,
1959-10-01,,,828.08,,763.901,,
1959-10-02,,,828.08,,763.901,,
1959-10-03,,,839.959,,763.901,,
1959-10-04,,,845.927,,768.403,,
1959-10-05,,,834.01,,768.403,,
1959-10-06,,,810.404,,777.452,,
1959-10-07,,,822.169,,763.901,,
1959-10-08,,,845.927,,759.415,,
1959-10-09,,,863.945,,759.415,,
1959-10-10,,,839.959,,759.415,,
1959-10-11,,,822.169,,754.943,,
1959-10-12,,,810.404,,754.943,,
1959-10-13,,,834.01,,754.943,,
1959-10-14,,,845.927,,754.943,,
1959-10-15,,,857.92,,768.403,,
1959-10-16,,,876.051,,782.0,,
1959-10-17,,,912.824,,791.141,,
1959-10-18,,,882.133,,795.734,,
1959-10-19,,,931.465,,795.734,,
1959-10-20,,,869.989,,795.734,,
1959-10-21,,,888.233,,800.344,,
1959-10-22,,,906.648,,809.607,,
1959-10-23,,,863.945,,814.263,,
1959-10-24,,,876.051,,814.263,,
1959-10-25,,,882.133,,809.607,,
1959-10-26,,,876.051,,809.607,,
1959-10-27,,,882.133,,804.968,,
1959-10-28,,,869.989,,804.968,,
1959-10-29,,,894.353,,800.344,,
1959-10-30,,,950.275,,800.344,,
1959-10-31,,,962.909,,818.933,,
1959-11-01,,,988.401,,852.059,,
1959-11-02,,,969.254,,856.853,,
1959-11-03,,,1001.26,,856.853,,
1959-11-04,,,1053.44,,861.663,,
1959-11-05,,,1147.61,,890.849,,
1959-11-06,,,1324.71,,935.683,,
1959-11-07,,,1421.3,,1018.54,,
1959-11-08,,,1444.02,,1077.88,,
1959-11-09,,,1428.86,,1116.65,,
