,Observado,Natural
1931-06-17 00:00:00,,2418.0
1931-06-18 00:00:00,,2392.0
1931-06-19 00:00:00,,2369.0
1931-06-20 00:00:00,,2348.0
1931-06-21 00:00:00,,2329.0
1931-06-22 00:00:00,,2309.0
1931-06-23 00:00:00,,2289.0
1931-06-24 00:00:00,,2268.0
1931-06-25 00:00:00,,2248.0
1931-06-26 00:00:00,,2227.0
1931-06-27 00:00:00,,2208.0
1931-06-28 00:00:00,,2190.0
1931-06-29 00:00:00,,2175.0
1931-06-30 00:00:00,,2160.0
1931-07-01 00:00:00,,2144.0
1931-07-02 00:00:00,,2127.0
1931-07-03 00:00:00,,2108.0
1931-07-04 00:00:00,,2087.0
1931-07-05 00:00:00,,2064.0
1931-07-06 00:00:00,,2038.0
1931-07-07 00:00:00,,2012.0
1931-07-08 00:00:00,,1986.0
1931-07-09 00:00:00,,1961.0
1931-07-10 00:00:00,,1937.0
1931-07-11 00:00:00,,1915.0
1931-07-12 00:00:00,,1897.0
1931-07-13 00:00:00,,1885.0
1931-07-14 00:00:00,,1878.0
1931-07-15 00:00:00,,1874.0
1931-07-16 00:00:00,,1872.0
1931-07-17 00:00:00,,1871.0
1931-07-18 00:00:00,,1870.0
1931-07-19 00:00:00,,1870.0
1931-07-20 00:00:00,,1870.0
1931-07-21 00:00:00,,1870.0
1931-07-22 00:00:00,,1869.0
1931-07-23 00:00:00,,1865.0
1931-07-24 00:00:00,,1857.0
1931-07-25 00:00:00,,1846.0
1931-07-26 00:00:00,,1835.0
1931-07-27 00:00:00,,1825.0
1931-07-28 00:00:00,,1816.0
1931-07-29 00:00:00,,1808.0
1931-07-30 00:00:00,,1799.0
1931-07-31 00:00:00,,1790.0
1931-08-01 00:00:00,,1781.0
1931-08-02 00:00:00,,1774.0
1931-08-03 00:00:00,,1767.0
1931-08-04 00:00:00,,1760.0
1931-08-05 00:00:00,,1752.0
1931-08-06 00:00:00,,1743.0
1931-08-07 00:00:00,,1733.0
1931-08-08 00:00:00,,1724.0
1931-08-09 00:00:00,,1716.0
1931-08-10 00:00:00,,1708.0
1931-08-11 00:00:00,,1699.0
1931-08-12 00:00:00,,1692.0
1931-08-13 00:00:00,,1686.0
1931-08-14 00:00:00,,1679.0
1931-08-15 00:00:00,,1670.0
1931-08-16 00:00:00,,1660.0
1931-08-17 00:00:00,,1650.0
1931-08-18 00:00:00,,1642.0
1931-08-19 00:00:00,,1634.0
1931-08-20 00:00:00,,1624.0
1931-08-21 00:00:00,,1613.0
1931-08-22 00:00:00,,1602.0
1931-08-23 00:00:00,,1592.0
1931-08-24 00:00:00,,1582.0
1931-08-25 00:00:00,,1573.0
1931-08-26 00:00:00,,1564.0
1931-08-27 00:00:00,,1556.0
1931-08-28 00:00:00,,1549.0
1931-08-29 00:00:00,,1543.0
1931-08-30 00:00:00,,1536.0
1931-08-31 00:00:00,,1528.0
1931-09-01 00:00:00,,1519.0
1931-09-02 00:00:00,,1509.0
1931-09-03 00:00:00,,1500.0
1931-09-04 00:00:00,,1493.0
1931-09-05 00:00:00,,1488.0
1931-09-06 00:00:00,,1485.0
1931-09-07 00:00:00,,1483.0
1931-09-08 00:00:00,,1481.0
1931-09-09 00:00:00,,1478.0
1931-09-10 00:00:00,,1474.0
1931-09-11 00:00:00,,1468.0
1931-09-12 00:00:00,,1462.0
1931-09-13 00:00:00,,1455.0
1931-09-14 00:00:00,,1449.0
1931-09-15 00:00:00,,1444.0
1931-09-16 00:00:00,,1441.0
1931-09-17 00:00:00,,1439.0
1931-09-18 00:00:00,,1438.0
1931-09-19 00:00:00,,1437.0
1931-09-20 00:00:00,,1437.0
1931-09-21 00:00:00,,1435.0
1931-09-22 00:00:00,,1431.0
1931-09-23 00:00:00,,1427.0
1931-09-24 00:00:00,,1422.0
1931-09-25 00:00:00,,1420.0
1931-09-26 00:00:00,,1420.0
1931-09-27 00:00:00,,1424.0
1931-09-28 00:00:00,,1430.0
1931-09-29 00:00:00,,1439.0
1931-09-30 00:00:00,,1448.0
1931-10-01 00:00:00,,1453.0
1931-10-02 00:00:00,,1454.0
1931-10-03 00:00:00,,1450.0
1931-10-04 00:00:00,,1443.0
1931-10-05 00:00:00,,1434.0
1931-10-06 00:00:00,,1425.0
1931-10-07 00:00:00,,1416.0
1931-10-08 00:00:00,,1407.0
1931-10-09 00:00:00,,1399.0
1931-10-10 00:00:00,,1389.0
1931-10-11 00:00:00,,1379.0
1931-10-12 00:00:00,,1368.0
1931-10-13 00:00:00,,1356.0
1931-10-14 00:00:00,,1343.0
1931-10-15 00:00:00,,1328.0
1931-10-16 00:00:00,,1314.0
1931-10-17 00:00:00,,1302.0
1931-10-18 00:00:00,,1290.0
1931-10-19 00:00:00,,1279.0
1931-10-20 00:00:00,,1269.0
1931-10-21 00:00:00,,1261.0
1931-10-22 00:00:00,,1255.0
1931-10-23 00:00:00,,1252.0
1931-10-24 00:00:00,,1254.0
1931-10-25 00:00:00,,1264.0
1931-10-26 00:00:00,,1283.0
1931-10-27 00:00:00,,1309.0
1931-10-28 00:00:00,,1343.0
1931-10-29 00:00:00,,1385.0
1931-10-30 00:00:00,,1436.0
1931-10-31 00:00:00,,1492.0
1931-11-01 00:00:00,,1545.0
1931-11-02 00:00:00,,1590.0
1931-11-03 00:00:00,,1631.0
1931-11-04 00:00:00,,1670.0
1931-11-05 00:00:00,,1711.0
1931-11-06 00:00:00,,1757.0
1931-11-07 00:00:00,,1814.0
1931-11-08 00:00:00,,1883.0
1931-11-09 00:00:00,,1952.0
1931-11-10 00:00:00,,2004.0
1931-11-11 00:00:00,,2030.0
1931-11-12 00:00:00,,2027.0
1931-11-13 00:00:00,,2001.0
1931-11-14 00:00:00,,1957.0
1931-11-15 00:00:00,,1906.0
1931-11-16 00:00:00,,1861.0
1931-11-17 00:00:00,,1835.0
1931-11-18 00:00:00,,1839.0
1931-11-19 00:00:00,,1874.0
1931-11-20 00:00:00,,1931.0
1931-11-21 00:00:00,,1991.0
1931-11-22 00:00:00,,2035.0
1931-11-23 00:00:00,,2051.0
1931-11-24 00:00:00,,2043.0
1931-11-25 00:00:00,,2017.0
1931-11-26 00:00:00,,1983.0
1931-11-27 00:00:00,,1952.0
1931-11-28 00:00:00,,1935.0
1931-11-29 00:00:00,,1934.0
1931-11-30 00:00:00,,1940.0
1931-12-01 00:00:00,,1941.0
1931-12-02 00:00:00,,1930.0
1931-12-03 00:00:00,,1914.0
1931-12-04 00:00:00,,1909.0
1931-12-05 00:00:00,,1930.0
1931-12-06 00:00:00,,1979.0
1931-12-07 00:00:00,,2043.0
1931-12-08 00:00:00,,2099.0
1931-12-09 00:00:00,,2131.0
1931-12-10 00:00:00,,2132.0
1931-12-11 00:00:00,,2107.0
1931-12-12 00:00:00,,2072.0
1931-12-13 00:00:00,,2045.0
1931-12-14 00:00:00,,2038.0
1931-12-15 00:00:00,,2057.0
1931-12-16 00:00:00,,2100.0
1931-12-17 00:00:00,,2149.0
1931-12-18 00:00:00,,2182.0
