,53540001_FLU,53620000_FLU,53630000_FLU,53650000_FLU,53732000_FLU,53780000_FLU,53880000_FLU,53950000_FLU
1969-08-18,15.963,16.214,13.03,19.193,,11.095,43.676,41.909
1969-08-19,15.963,16.214,13.03,18.693,,11.095,42.168,40.59
1969-08-20,15.502,15.727,13.03,18.693,,10.806,41.421,39.441
1969-08-21,15.502,15.727,13.03,18.693,,10.523,39.94,38.307
1969-08-22,15.05,15.727,12.413,18.2,,10.246,39.206,37.187
1969-08-23,15.05,15.248,12.11,17.711,,10.246,38.477,36.081
1969-08-24,15.05,15.248,11.811,18.2,,11.692,38.477,34.989
1969-08-25,14.606,14.779,11.811,18.2,,12.001,38.477,34.989
1969-08-26,14.606,14.779,11.811,18.2,,10.806,40.678,31.283
1969-08-27,14.17,14.779,11.811,18.2,,10.806,41.421,32.324
1969-08-28,14.17,14.779,11.811,18.2,,10.246,40.678,30.257
1969-08-29,14.17,14.779,11.811,18.693,,10.246,37.752,29.749
1969-08-30,14.17,14.779,11.516,18.2,,10.246,37.033,29.245
1969-08-31,14.17,14.779,11.516,18.2,,9.976,37.033,28.745
1969-09-01,14.17,14.317,11.516,18.2,,10.246,39.94,27.756
1969-09-02,14.17,14.317,11.516,18.693,,10.246,38.477,36.081
1969-09-03,14.17,14.317,11.225,18.2,,10.523,38.477,38.307
1969-09-04,13.743,14.317,11.225,17.711,,11.095,37.752,35.533
1969-09-05,13.743,14.779,11.225,17.711,,10.523,37.752,34.449
1969-09-06,13.743,14.317,11.516,17.711,,10.246,39.206,33.379
1969-09-07,13.743,14.317,11.516,18.2,,9.712,37.752,29.749
1969-09-08,13.323,14.317,11.225,17.711,,9.453,35.607,28.745
1969-09-09,13.323,13.865,11.225,17.711,,9.453,34.902,27.267
1969-09-10,13.323,13.865,10.938,17.228,,9.453,34.201,26.781
1969-09-11,13.323,13.42,10.654,16.751,,9.2,33.505,26.3
1969-09-12,12.912,13.42,10.375,16.751,,9.2,32.814,25.822
1969-09-13,12.912,13.42,10.1,16.751,,9.2,32.128,25.822
1969-09-14,12.509,12.984,9.828,16.279,,8.953,31.447,24.878
1969-09-15,12.509,12.984,9.828,16.279,,8.953,31.447,23.948
1969-09-16,12.509,12.557,9.828,17.228,,8.953,30.099,23.948
1969-09-17,12.113,12.557,9.561,17.228,,8.953,30.099,23.034
1969-09-18,11.726,12.557,9.561,17.228,,9.2,30.77,23.034
1969-09-19,11.726,12.138,9.561,17.228,,9.2,30.099,22.136
1969-09-20,11.346,12.138,9.297,17.228,,9.453,30.099,21.692
1969-09-21,11.346,12.138,9.297,17.228,,8.953,30.099,21.692
1969-09-22,12.509,12.138,9.297,17.228,,9.453,30.099,21.692
1969-09-23,12.509,12.557,9.297,17.711,,10.806,31.447,21.252
1969-09-24,12.113,12.557,9.561,17.711,,10.523,30.77,25.348
1969-09-25,12.113,12.984,9.561,17.711,,10.806,33.505,29.245
1969-09-26,11.726,13.865,9.828,17.711,,12.001,34.902,29.749
1969-09-27,11.726,14.317,10.938,18.2,,13.649,35.607,29.245
1969-09-28,11.726,13.865,10.654,19.697,,12.001,36.318,27.756
1969-09-29,11.726,13.42,10.654,18.693,,10.806,39.206,26.781
1969-09-30,11.726,13.42,10.1,18.693,,9.712,37.752,25.822
1969-10-01,11.726,12.984,10.1,18.693,,9.2,35.607,24.411
1969-10-02,11.726,12.984,10.1,18.2,,9.2,32.814,23.489
1969-10-03,11.726,12.557,10.1,17.228,,8.953,31.447,23.948
1969-10-04,10.974,12.138,9.297,17.228,,8.712,30.099,21.252
