,53540001_FLU,53620000_FLU,53630000_FLU,53650000_FLU,53732000_FLU,53780000_FLU,53880000_FLU,53950000_FLU
1977-03-15,,8.378,7.396,7.396,,8.853,32.671,44.445
1977-03-16,,8.047,6.844,7.396,,8.853,32.671,43.17
1977-03-17,,8.047,6.844,6.886,,8.853,30.593,42.538
1977-03-18,,7.41,6.668,6.886,,8.853,29.913,40.666
1977-03-19,,6.225,6.494,6.398,,8.531,29.24,39.437
1977-03-20,,5.677,6.158,6.162,,8.214,27.256,37.622
1977-03-21,,5.677,5.835,6.162,,7.902,26.608,35.842
1977-03-22,,5.677,5.228,5.931,,7.596,25.966,34.675
1977-03-23,,5.159,4.943,5.485,,7.596,24.702,37.622
1977-03-24,,5.159,4.805,5.27,,7.596,24.702,35.257
1977-03-25,,5.159,4.538,5.06,,9.516,23.464,34.675
1977-03-26,,4.207,4.282,5.06,,8.214,23.464,34.675
1977-03-27,,4.207,4.038,5.06,,7.596,24.702,33.524
1977-03-28,,4.207,3.691,4.856,,7.596,24.08,32.954
1977-03-29,,3.774,3.367,4.656,,7.596,21.656,32.389
1977-03-30,,3.567,3.163,4.271,,7.596,21.066,31.27
1977-03-31,,3.367,2.969,3.906,,7.596,20.484,30.166
1977-04-01,,4.669,2.969,3.906,,7.596,19.908,29.621
1977-04-02,,4.669,3.065,3.561,,7.002,19.908,29.079
1977-04-03,,5.415,3.163,4.086,,7.002,19.338,28.009
1977-04-04,,5.948,3.264,4.656,,7.002,18.776,26.955
1977-04-05,,7.41,3.58,4.086,,7.002,19.338,28.009
1977-04-06,,9.062,9.255,3.906,,7.596,21.066,28.542
1977-04-07,,10.525,8.6,9.659,,7.596,21.656,29.079
1977-04-08,,11.707,10.678,8.482,,7.596,22.252,30.166
1977-04-09,,10.147,11.448,10.602,,7.596,21.656,29.621
1977-04-10,,9.416,8.814,9.659,,7.002,23.464,30.716
1977-04-11,,8.716,8.183,9.059,,7.002,27.256,31.827
1977-04-12,,8.378,8.389,8.202,,7.596,27.911,26.955
1977-04-13,,6.51,8.183,7.659,,7.002,27.256,28.542
1977-04-14,,5.948,8.6,6.886,,7.002,25.966,29.621
1977-04-15,,5.677,7.396,6.886,,7.002,24.702,31.27
1977-04-16,,5.415,7.208,6.398,,7.902,24.702,32.389
1977-04-17,,5.159,6.844,6.162,,7.902,24.702,32.389
1977-04-18,,4.669,6.494,5.931,,9.855,24.702,33.524
1977-04-19,,4.669,5.679,5.485,,8.853,28.572,33.524
1977-04-20,,5.677,4.67,5.06,,8.214,31.972,34.098
1977-04-21,,6.225,4.409,5.06,,8.214,29.24,37.622
1977-04-22,,7.102,4.409,4.656,,7.596,27.911,45.735
1977-04-23,,8.047,4.538,4.656,,19.638,29.913,71.45
1977-04-24,,8.716,4.538,6.162,,32.474,166.156,88.542
1977-04-25,,9.777,5.995,5.06,,26.762,249.885,147.362
1977-04-26,,10.525,7.981,6.162,,26.762,94.802,119.297
1977-04-27,,12.535,12.261,8.482,,19.638,87.319,92.829
1977-04-28,,12.535,12.261,12.707,,14.357,72.146,81.855
1977-04-29,,14.293,12.541,12.287,,11.635,57.296,67.603
1977-04-30,,14.293,13.116,12.707,,10.2,51.247,61.629
1977-05-01,,13.398,14.326,12.707,,9.516,51.247,53.787
1977-05-02,,13.398,15.707,14.004,,9.516,47.097,52.408
1977-05-03,,12.535,14.947,12.287,,10.906,43.882,49.694
1977-05-04,,12.535,10.678,11.463,,9.855,43.092,47.698
1977-05-05,,12.117,9.032,10.282,,9.516,41.531,49.025
1977-05-06,,11.707,8.814,9.968,,9.516,39.994,47.04
1977-05-07,,9.777,8.389,9.059,,8.853,36.992,46.385
1977-05-08,,8.716,7.981,9.059,,8.853,33.375,43.806
1977-05-09,,7.41,7.782,9.059,,8.853,32.671,45.735
1977-05-10,,7.102,6.844,7.928,,8.214,31.972,44.445
1977-05-11,,6.802,6.844,7.396,,8.214,31.279,42.538
1977-05-12,,6.802,6.494,7.396,,8.853,29.913,41.286
1977-05-13,,6.802,6.494,7.139,,8.853,29.24,40.049
1977-05-14,,6.51,6.158,6.398,,8.214,27.911,38.828
1977-05-15,,6.225,6.158,6.162,,7.902,27.256,37.025
1977-05-16,,6.225,5.835,6.162,,7.596,27.256,36.431
1977-05-17,,6.225,6.844,6.162,,7.596,27.256,34.675
1977-05-18,,5.948,8.389,6.162,,8.531,30.593,33.524
1977-05-19,,7.41,7.024,7.928,,9.516,47.916,53.787
1977-05-20,,9.062,7.782,7.928,,9.182,41.531,50.367
1977-05-21,,11.707,9.032,8.202,,8.853,41.531,45.735
1977-05-22,,15.7,14.947,9.659,,8.853,40.76,43.806
1977-05-23,,15.223,16.481,15.813,,8.214,36.992,42.538
1977-05-24,,12.962,16.481,15.813,,8.214,35.527,40.666
1977-05-25,,12.535,14.641,15.352,,7.596,34.086,38.223
1977-05-26,,12.535,14.016,15.352,,7.596,37.734,37.622
1977-05-27,,10.911,14.016,15.352,,7.596,36.992,39.437
1977-05-28,,9.416,13.411,13.566,,7.596,35.527,41.91
1977-05-29,,8.716,13.116,12.707,,8.214,35.527,41.91
1977-05-30,,8.716,12.261,9.968,,7.596,34.804,38.828
1977-05-31,,8.378,11.448,9.356,,8.214,32.671,38.223
1977-06-01,,8.047,11.715,8.768,,8.531,32.671,37.025
1977-06-02,,8.047,10.678,8.482,,8.531,34.086,38.828
1977-06-03,,8.047,10.43,8.482,,8.214,34.086,42.538
1977-06-04,,7.725,9.032,8.482,,9.855,32.671,46.385
1977-06-05,,7.41,7.981,9.059,,10.906,33.375,50.367
1977-06-06,,6.802,7.782,9.059,,10.906,34.804,48.36
1977-06-07,,6.802,7.396,7.928,,10.906,36.992,47.04
1977-06-08,,6.802,7.024,7.928,,9.855,36.992,45.735
1977-06-09,,6.51,5.995,7.396,,9.182,35.527,44.445
1977-06-10,,6.225,5.995,7.396,,8.214,32.671,41.91
1977-06-11,,6.225,6.494,7.396,,8.214,30.593,36.431
1977-06-12,,6.225,6.158,6.886,,7.596,28.572,34.675
1977-06-13,,6.225,5.995,6.64,,7.596,27.256,33.524
1977-06-14,,5.948,5.679,6.398,,7.596,25.966,32.389
1977-06-15,,5.677,5.525,6.398,,7.596,24.702,31.827
1977-06-16,,5.677,5.228,5.931,,7.596,24.702,31.827
1977-06-17,,5.677,5.084,5.931,,7.596,25.331,34.098
1977-06-18,,5.677,5.835,5.931,,7.596,27.911,37.622
1977-06-19,,5.677,5.525,5.931,,7.596,27.256,40.666
1977-06-20,,5.677,5.525,6.64,,8.531,26.608,46.385
1977-06-21,,5.677,5.084,6.64,,10.906,27.256,53.787
1977-06-22,,5.677,4.805,6.64,,13.158,33.375,61.629
1977-06-23,,5.677,4.805,6.398,,15.605,55.54,68.366
1977-06-24,,5.677,4.67,6.398,,13.158,44.677,77.785
1977-06-25,,5.677,4.538,6.398,,13.158,46.285,85.172
1977-06-26,,5.677,4.538,6.398,,12.769,47.916,90.247
1977-06-27,,5.677,4.409,6.162,,13.158,40.76,88.542
1977-06-28,,5.677,5.525,5.931,,12.385,38.481,73.8
1977-06-29,,5.677,5.525,5.931,,12.769,41.531,71.45
1977-06-30,,5.677,5.375,5.931,,18.704,42.309,86.009
1977-07-01,,5.415,5.525,6.886,,21.568,55.54,99.86
1977-07-02,,5.159,5.525,6.64,,20.593,67.355,121.221
1977-07-03,,5.415,5.228,6.64,,22.565,89.431,129.043
1977-07-04,,5.677,5.228,7.928,,22.064,96.986,101.65
1977-07-05,,5.677,4.943,7.928,,22.565,88.372,76.981
1977-07-06,,5.677,4.67,7.928,,23.072,85.228,79.403
1977-07-07,,5.677,4.943,7.139,,22.565,83.157,113.6
1977-07-08,,5.677,5.084,7.659,,19.168,81.107,127.069
1977-07-09,,5.677,4.943,7.396,,19.168,76.076,112.662
1977-07-10,,5.677,5.679,7.396,,17.344,70.214,100.753
1977-07-11,,5.677,5.228,6.886,,15.184,65.477,88.542
1977-07-12,,5.677,4.943,6.886,,13.552,59.075,78.592
1977-07-13,,5.677,4.67,6.886,,13.158,52.094,71.45
1977-07-14,,5.415,4.67,6.64,,12.769,47.097,67.603
1977-07-15,,5.415,5.228,5.931,,12.385,43.882,63.843
1977-07-16,,5.159,4.805,5.931,,11.635,42.309,57.298
1977-07-17,,5.159,4.67,5.706,,10.906,39.994,54.482
1977-07-18,,4.911,4.409,5.485,,10.906,37.734,52.408
1977-07-19,,4.911,4.409,5.06,,11.268,36.257,49.694
1977-07-20,,4.911,4.159,5.06,,10.906,34.086,45.735
1977-07-21,,4.669,4.038,5.06,,10.55,32.671,44.445
1977-07-22,,4.435,3.919,5.06,,10.2,33.375,45.088
1977-07-23,,3.987,4.038,5.06,,10.2,33.375,43.806
1977-07-24,,3.774,3.691,5.06,,10.2,31.279,42.538
1977-07-25,,3.367,3.472,5.06,,9.516,31.279,40.049
1977-07-26,,3.367,3.472,4.856,,9.516,31.279,39.437
1977-07-27,,3.367,3.264,4.271,,8.853,29.913,38.828
1977-07-28,,3.367,3.163,4.271,,8.853,29.24,38.223
1977-07-29,,3.367,3.065,4.086,,8.853,27.256,37.025
1977-07-30,,3.367,2.876,4.086,,8.531,26.608,35.842
1977-07-31,,3.367,2.784,4.086,,8.214,25.966,34.675
1977-08-01,,2.987,2.608,3.561,,8.214,25.966,34.098
1977-08-02,,2.987,2.524,3.561,,8.214,24.702,32.954
1977-08-03,,2.987,2.524,3.395,,8.214,24.08,30.716
1977-08-04,,2.987,2.441,3.234,,8.214,23.464,29.621
1977-08-05,,2.807,2.524,3.234,,8.214,23.464,30.716
1977-08-06,,2.807,2.524,3.234,,9.516,23.464,33.524
1977-08-07,,2.807,2.441,3.234,,10.906,23.464,33.524
1977-08-08,,2.807,2.524,3.234,,10.2,24.08,32.389
1977-08-09,,2.633,2.524,3.234,,9.516,27.256,31.827
1977-08-10,,2.633,2.441,2.927,,8.531,27.256,33.524
1977-08-11,,2.633,2.524,2.927,,8.214,25.966,32.389
1977-08-12,,2.633,2.524,2.927,,7.596,24.702,30.716
1977-08-13,,2.466,2.441,2.78,,8.214,23.464,29.621
1977-08-14,,2.466,2.441,2.637,,8.214,22.252,28.009
1977-08-15,,2.466,2.36,2.499,,8.214,21.656,26.955
1977-08-16,,2.466,2.36,2.499,,8.214,21.066,27.48
1977-08-17,,2.466,2.205,2.499,,8.214,21.066,26.955
1977-08-18,,2.466,2.205,2.365,,8.214,19.908,25.917
1977-08-19,,2.305,2.058,2.365,,8.214,19.338,25.404
1977-08-20,,2.305,1.918,2.365,,8.214,19.338,25.404
1977-08-21,,2.151,1.851,2.236,,8.214,19.338,24.896
1977-08-22,,2.002,1.722,1.991,,8.214,18.776,25.917
1977-08-23,,2.002,1.918,1.874,,8.214,19.338,25.404
1977-08-24,,1.724,1.918,1.991,,8.214,18.776,24.896
1977-08-25,,1.724,1.851,1.991,,8.214,18.776,23.892
1977-08-26,,1.724,1.722,1.874,,8.214,18.776,24.896
1977-08-27,,1.724,1.661,1.874,,7.596,19.338,25.917
1977-08-28,,1.724,1.661,1.874,,7.596,19.338,24.896
1977-08-29,,1.594,1.6,1.874,,7.596,18.22,23.892
1977-08-30,,1.594,1.6,1.762,,7.596,17.672,23.892
1977-08-31,,1.47,1.542,1.654,,7.596,16.595,24.896
1977-09-01,,1.47,1.542,1.654,,7.596,16.595,24.392
1977-09-02,,1.47,1.43,1.654,,7.596,16.595,25.404
1977-09-03,,1.351,1.43,1.654,,7.596,16.067,26.955
1977-09-04,,1.351,1.324,1.654,,7.596,15.546,33.524
1977-09-05,,1.132,1.324,1.654,,7.596,15.546,35.257
1977-09-06,,1.132,1.274,1.762,,7.596,15.546,36.431
1977-09-07,,1.132,1.274,1.874,,9.516,16.595,38.828
1977-09-08,,1.132,1.177,1.874,,13.158,19.338,41.286
1977-09-09,,1.132,1.131,1.874,,16.031,20.484,42.538
1977-09-10,,1.132,1.225,1.874,,15.605,24.08,40.049
1977-09-11,,1.03,1.225,1.762,,11.635,27.256,38.223
1977-09-12,,1.03,1.225,1.654,,10.2,37.734,36.431
1977-09-13,,1.03,1.324,1.654,,9.516,31.279,34.098
1977-09-14,,1.03,1.274,1.55,,8.853,27.911,31.827
1977-09-15,,1.03,1.225,1.55,,8.214,24.08,30.716
1977-09-16,,1.03,1.225,1.45,,7.596,20.484,28.542
1977-09-17,,1.03,1.225,1.354,,7.596,19.338,26.434
1977-09-18,,0.934,1.225,1.354,,7.596,18.776,24.896
1977-09-19,,0.844,1.225,1.354,,7.596,17.672,23.892
1977-09-20,,0.844,1.43,1.45,,7.596,17.13,22.904
1977-09-21,,0.759,1.43,1.45,,7.596,16.595,21.934
1977-09-22,,0.759,1.376,1.55,,7.596,16.595,22.417
1977-09-23,,0.679,1.324,1.55,,7.596,16.067,23.892
1977-09-24,,0.679,1.274,2.111,,8.214,15.546,25.404
1977-09-25,,0.679,1.324,5.06,,8.853,17.13,26.955
1977-09-26,,0.679,1.324,5.06,,12.385,19.338,28.009
1977-09-27,,0.679,1.274,3.731,,21.568,24.08,28.542
1977-09-28,,0.934,1.43,2.927,,18.246,24.702,29.621
1977-09-29,,1.132,1.376,2.927,,17.344,53.806,31.27
1977-09-30,,1.239,1.43,2.637,,16.464,47.097,49.694
1977-10-01,,1.47,1.43,2.78,,15.184,40.76,51.724
1977-10-02,,1.47,1.661,2.499,,14.357,36.257,47.698
1977-10-03,,2.633,1.722,2.111,,11.635,33.375,45.735
1977-10-04,,3.567,1.786,2.111,,10.55,26.608,44.445
1977-10-05,,5.677,1.851,1.991,,9.855,30.593,51.044
1977-10-06,,7.102,2.36,1.991,,9.516,27.256,57.298
1977-10-07,,8.047,6.158,2.927,,10.55,30.593,70.674
1977-10-08,,8.047,6.324,8.482,,11.268,33.375,86.85
1977-10-09,,9.062,7.208,9.356,,20.593,47.097,102.55
1977-10-10,,9.416,7.782,7.928,,19.168,74.1,121.221
1977-10-11,,11.305,11.187,11.06,,30.128,109.362,149.458
1977-10-12,,12.962,13.116,13.134,,47.547,200.325,174.465
1977-10-13,,12.117,12.261,13.134,,25.682,121.137,137.062
1977-10-14,,11.707,11.715,12.707,,17.792,99.191,119.297
1977-10-15,,11.707,10.678,12.707,,13.952,73.12,101.65
1977-10-16,,10.525,9.481,10.602,,11.268,63.62,85.172
1977-10-17,,10.147,8.389,10.602,,10.2,54.67,75.384
1977-10-18,,8.047,7.782,9.059,,9.516,49.57,64.588
1977-10-19,,6.802,7.208,7.659,,9.516,44.677,58.727
1977-10-20,,5.948,6.668,7.396,,9.516,40.76,56.588
1977-10-21,,5.415,6.158,7.396,,10.2,36.992,50.367
1977-10-22,,5.159,6.324,7.396,,10.2,45.478,62.364
1977-10-23,,4.435,5.375,6.886,,23.072,62.7,91.965
1977-10-24,,5.415,4.943,6.398,,23.072,61.786,115.487
1977-10-25,,6.51,4.943,5.931,,12.007,57.296,137.062
1977-10-26,,7.102,4.805,5.931,,13.158,56.415,147.362
1977-10-27,,8.378,4.409,5.485,,13.552,60.877,102.55
1977-10-28,,9.416,4.805,5.06,,13.552,79.079,117.386
1977-10-29,,8.716,7.782,5.06,,12.385,78.072,126.086
1977-10-30,,8.378,9.032,9.356,,10.906,104.791,135.039
1977-10-31,,7.41,8.389,9.356,,11.635,66.413,132.027
1977-11-01,,6.802,7.981,8.768,,10.2,52.094,118.34
1977-11-02,,5.948,7.208,7.396,,10.2,47.916,103.453
1977-11-03,,5.415,5.679,7.139,,9.516,43.092,97.199
1977-11-04,,4.669,5.084,5.706,,8.853,38.481,86.85
1977-11-05,,4.207,4.409,5.485,,8.214,33.375,76.181
1977-11-06,,3.774,4.409,5.06,,8.214,30.593,60.898
1977-11-07,,3.567,4.038,5.06,,8.214,29.24,53.096
1977-11-08,,3.367,3.691,5.06,,8.853,29.24,49.025
1977-11-09,,3.174,3.691,4.461,,10.2,26.608,53.787
1977-11-10,,2.987,3.472,4.086,,10.2,28.572,57.298
1977-11-11,,2.807,3.367,4.086,,10.2,29.913,61.629
1977-11-12,,2.987,3.264,3.731,,9.516,28.572,57.298
1977-11-13,,3.367,3.163,3.561,,8.853,28.572,52.408
1977-11-14,,4.669,3.065,3.395,,8.853,27.256,47.698
1977-11-15,,5.677,3.264,3.234,,8.214,24.702,45.735
1977-11-16,,6.225,4.67,3.561,,7.596,22.854,41.91
1977-11-17,,6.225,5.525,3.561,,7.596,21.066,38.828
1977-11-18,,4.669,5.525,7.139,,7.596,20.484,35.842
1977-11-19,,3.987,5.679,7.396,,11.268,28.572,33.524
1977-11-20,,4.669,5.375,7.659,,13.552,32.671,34.675
1977-11-21,,4.911,5.835,7.928,,16.901,44.677,37.622
1977-11-22,,5.159,6.324,16.751,,16.464,53.806,36.431
1977-11-23,,5.415,6.494,9.059,,12.385,60.877,35.842
1977-11-24,,5.677,5.525,7.396,,10.906,54.67,34.675
1977-11-25,,7.41,6.158,6.886,,8.853,50.405,32.954
1977-11-26,,12.962,11.187,6.64,,7.596,40.76,31.827
1977-11-27,,18.218,10.678,14.448,,7.596,34.086,34.675
1977-11-28,,22.708,12.261,13.134,,7.596,31.279,37.622
1977-11-29,,26.458,18.066,14.004,,7.596,29.24,35.842
1977-11-30,,29.631,26.262,26.166,,7.596,36.992,35.257
1977-12-01,,32.234,26.262,28.488,,8.214,32.671,35.842
1977-12-02,,30.912,30.99,29.68,,8.214,35.527,40.049
1977-12-03,,29.006,29.543,32.122,,8.214,43.882,45.735
1977-12-04,,23.921,28.12,29.081,,8.214,44.677,48.36
1977-12-05,,20.391,23.559,26.166,,8.214,47.097,48.36
1977-12-06,,15.7,18.47,22.837,,8.214,45.478,46.385
1977-12-07,,13.841,14.641,18.693,,8.214,41.531,41.286
1977-12-08,,12.117,13.116,14.448,,7.596,38.481,39.437
1977-12-09,,10.525,11.448,13.566,,7.002,34.086,36.431
1977-12-10,,9.777,10.43,11.872,,6.429,30.593,34.098
1977-12-11,,8.716,9.032,11.06,,6.429,28.572,31.827
1977-12-12,,8.716,10.186,8.202,,6.429,27.256,29.621
1977-12-13,,9.062,8.183,11.872,,7.596,27.256,54.482
1977-12-14,,9.416,7.782,9.659,,10.2,31.972,48.36
1977-12-15,,9.416,7.981,9.659,,16.464,34.804,45.088
1977-12-16,,10.911,9.712,9.968,,20.593,39.235,53.096
1977-12-17,,13.841,9.712,11.06,,24.622,52.947,66.089
1977-12-18,,19.287,10.186,11.872,,23.072,64.546,73.013
1977-12-19,,25.171,24.898,17.228,,18.246,71.177,77.785
1977-12-20,,23.921,26.722,29.68,,14.357,70.214,80.217
1977-12-21,,22.708,24.898,27.9,,13.952,60.877,86.85
1977-12-22,,21.531,22.247,25.599,,11.635,61.786,98.083
1977-12-23,,20.957,18.066,21.77,,11.635,59.973,109.866
1977-12-24,,20.391,16.092,20.723,,10.2,130.911,126.086
1977-12-25,,19.287,13.711,14.448,,11.635,70.214,152.626
1977-12-26,,17.697,14.641,19.193,,13.158,58.183,192.572
1977-12-27,,17.185,17.267,21.77,,15.605,129.672,231.752
1977-12-28,,20.391,25.805,22.301,,23.072,111.678,258.838
1977-12-29,,30.912,43.083,50.625,,109.982,602.314,291.934
1977-12-30,,41.049,44.5,56.757,,118.962,673.649,332.908
1977-12-31,,57.424,43.789,56.757,,53.412,383.064,621.204
1978-01-01,,67.199,53.359,52.131,,58.778,300.358,405.916
1978-01-02,,73.129,62.0,73.325,,33.074,215.329,305.808
1978-01-03,,80.741,69.426,83.17,,23.072,173.058,230.598
1978-01-04,,78.142,76.288,89.699,,34.288,266.285,268.5
1978-01-05,,70.713,78.042,93.52,,42.677,442.713,434.828
1978-01-06,,63.815,66.915,89.699,,57.231,538.721,594.419
1978-01-07,,59.5,62.809,85.943,,51.175,426.461,573.603
1978-01-08,,62.715,59.595,75.959,,36.778,358.326,468.365
1978-01-09,,69.527,61.194,75.959,,23.072,229.21,346.091
1978-01-10,,80.741,64.44,79.531,,18.704,174.452,239.885
1978-01-11,,82.063,78.924,123.153,,17.792,158.027,199.109
1978-01-12,,87.514,96.384,179.336,,56.464,356.452,318.613
1978-01-13,,100.745,97.339,150.161,,62.712,482.306,509.997
1978-01-14,,113.686,100.224,137.509,,61.917,671.219,702.489
1978-01-15,,129.657,104.121,124.234,,50.44,424.447,645.683
1978-01-16,,139.209,112.081,163.268,,32.474,352.714,462.583
1978-01-17,,151.34,120.26,156.063,,23.583,307.373,393.605
1978-01-18,,170.967,131.855,175.573,,21.568,269.616,344.765
1978-01-19,,218.452,150.551,188.244,,25.149,295.139,340.797
1978-01-20,,215.737,166.637,216.931,,23.583,274.645,340.797
1978-01-21,,177.906,163.139,233.827,,22.565,267.949,325.084
1978-01-22,,139.209,148.303,193.413,,18.246,261.32,317.325
1978-01-23,,113.686,132.928,174.326,,16.031,238.661,299.474
1978-01-24,,83.402,114.105,145.508,,15.605,221.454,275.827
1978-01-25,,67.199,87.95,108.429,,15.605,195.911,249.299
1978-01-26,,54.411,60.392,81.342,,14.357,177.254,222.576
1978-01-27,,41.049,51.088,65.654,,12.007,151.381,195.831
1978-01-28,,36.446,40.99,53.655,,10.906,122.342,163.083
1978-01-29,,32.91,34.965,41.976,,8.853,102.536,134.032
1978-01-30,,30.912,29.066,36.586,,8.853,89.431,114.542
1978-01-31,,29.006,29.066,30.283,,8.214,80.09,101.65
1978-02-01,,26.458,28.12,30.283,,8.214,71.177,90.247
1978-02-02,,24.541,25.805,26.166,,7.596,66.413,82.679
1978-02-03,,22.708,24.003,23.926,,7.596,62.7,76.981
1978-02-04,,21.531,21.815,23.379,,7.596,59.973,73.8
1978-02-05,,20.391,21.386,21.243,,7.596,58.183,70.674
1978-02-06,,19.287,20.118,20.207,,7.596,61.786,232.908
1978-02-07,,19.287,20.538,19.697,,7.596,56.415,226.002
1978-02-08,,20.391,27.186,23.379,,10.906,91.564,325.084
1978-02-09,,22.115,25.805,30.283,,12.385,307.373,385.31
1978-02-10,,22.708,26.262,30.283,,20.593,446.815,438.297
1978-02-11,,27.116,28.592,26.739,,23.072,404.523,359.45
1978-02-12,,35.0,44.5,75.077,,24.1,473.855,342.117
1978-02-13,,61.63,58.012,79.531,,41.331,552.103,326.384
1978-02-14,,78.142,76.288,106.389,,62.712,406.498,309.63
1978-02-15,,117.103,90.729,117.806,,46.836,418.428,294.44
1978-02-16,,149.267,106.09,129.698,,27.863,371.563,278.284
1978-02-17,,175.57,144.955,165.7,,22.565,264.626,269.716
1978-02-18,,210.38,156.225,183.132,,17.792,233.916,262.447
1978-02-19,,262.259,180.908,210.611,,23.072,251.506,277.054
1978-02-20,,319.332,218.477,277.909,,22.565,259.674,294.44
1978-02-21,,274.954,213.314,270.207,,20.593,303.857,302.002
1978-02-22,,205.122,178.499,233.827,,18.704,327.007,312.188
1978-02-23,,149.267,156.225,196.02,,15.184,296.875,302.002
1978-02-24,,129.657,134.005,154.875,,13.952,241.847,263.654
1978-02-25,,122.368,112.081,137.509,,13.158,212.293,251.672
1978-02-26,,110.342,95.432,128.597,,13.158,218.383,238.718
1978-02-27,,94.696,97.339,115.695,,11.635,219.916,248.116
1978-02-28,,76.866,79.81,98.389,,24.1,187.205,236.388
1978-03-01,,74.359,71.118,85.943,,22.064,212.293,224.858
1978-03-02,,74.359,69.426,82.254,,19.168,224.544,216.907
1978-03-03,,71.913,69.426,82.254,,20.113,178.662,210.171
1978-03-04,,70.713,66.915,82.254,,21.078,151.381,214.653
1978-03-05,,69.527,64.44,82.254,,22.064,142.275,228.296
1978-03-06,,67.199,64.44,82.254,,24.1,158.027,242.227
1978-03-07,,67.199,63.622,81.342,,21.078,341.599,245.754
1978-03-08,,71.913,63.622,76.846,,23.072,321.603,252.862
1978-03-09,,79.433,67.748,76.846,,25.149,197.378,235.226
1978-03-10,,83.402,78.924,93.52,,29.554,187.205,220.302
1978-03-11,,90.337,79.81,94.486,,112.946,203.29,235.226
1978-03-12,,94.696,88.873,97.407,,58.778,248.269,273.377
1978-03-13,,112.005,93.54,109.455,,27.31,253.131,300.737
1978-03-14,,133.418,109.07,117.806,,28.422,218.383,281.984
1978-03-15,,117.103,124.429,129.698,,21.568,190.089,243.401
1978-03-16,,107.072,115.123,146.665,,24.1,200.325,235.226
1978-03-17,,99.207,103.142,134.138,,27.863,230.775,260.039
1978-03-18,,84.757,84.296,117.806,,29.554,269.616,302.002
1978-03-19,,76.866,71.118,95.455,,27.31,358.326,381.186
1978-03-20,,64.929,63.622,85.943,,39.349,296.875,390.833
1978-03-21,,59.5,53.359,71.59,,48.263,272.965,340.797
1978-03-22,,55.402,50.339,67.328,,42.001,251.506,313.469
1978-03-23,,50.575,49.594,59.931,,34.288,221.454,281.984
1978-03-24,,47.832,51.088,58.335,,28.985,249.885,231.752
1978-03-25,,44.346,48.118,56.757,,23.072,298.614,243.401
1978-03-26,,42.674,43.083,52.891,,20.113,274.645,237.552
1978-03-27,,41.049,38.055,50.625,,17.344,261.32,321.196
1978-03-28,,37.186,35.474,43.371,,15.605,241.847,300.737
1978-03-29,,34.293,35.474,37.243,,14.767,230.775,283.221
1978-03-30,,31.568,32.957,35.286,,14.767,229.21,275.827
1978-03-31,,31.568,34.965,57.544,,27.31,249.885,288.188
1978-04-01,,30.267,35.474,47.668,,29.554,230.775,288.188
1978-04-02,,32.234,32.461,50.625,,29.554,194.449,254.053
1978-04-03,,37.186,35.474,40.6,,92.828,155.355,207.942
1978-04-04,,41.856,37.015,39.243,,72.538,191.538,210.171
1978-04-05,,42.674,39.634,40.6,,48.983,192.991,230.598
1978-04-06,,43.504,44.5,49.138,,34.903,146.15,201.304
1978-04-07,,43.504,45.215,49.138,,44.043,137.176,169.258
1978-04-08,,43.504,49.594,49.138,,46.131,152.701,174.465
1978-04-09,,43.504,51.088,47.668,,36.148,159.37,187.182
1978-04-10,,44.346,48.854,47.668,,30.128,159.37,191.489
1978-04-11,,45.199,46.658,46.941,,28.985,140.993,179.726
1978-04-12,,46.942,48.118,46.217,,30.707,130.911,163.083
1978-04-13,,46.942,51.088,49.138,,19.638,117.553,148.409
1978-04-14,,46.942,53.359,52.131,,19.168,116.368,140.12
1978-04-15,,46.942,51.088,84.09,,48.263,147.45,160.025
1978-04-16,,52.467,115.123,58.335,,54.167,204.78,214.653
1978-04-17,,58.455,103.142,49.138,,43.358,237.075,267.285
1978-04-18,,64.929,72.826,49.879,,42.001,178.662,246.934
1978-04-19,,62.715,73.686,69.02,,26.219,162.071,203.509
1978-04-20,,55.402,68.585,71.59,,25.682,156.689,191.489
1978-04-21,,46.065,48.854,72.456,,22.565,156.689,188.255
1978-04-22,,37.936,47.386,65.654,,24.622,144.853,180.785
1978-04-23,,33.596,43.789,41.286,,20.113,135.914,168.223
1978-04-24,,38.698,38.579,57.544,,34.288,147.45,170.295
1978-04-25,,43.504,51.841,82.254,,54.928,249.885,243.401
1978-04-26,,69.527,68.585,84.09,,83.776,266.285,310.908
1978-04-27,,82.063,77.163,84.09,,76.788,369.659,386.688
1978-04-28,,84.757,81.593,84.09,,50.44,253.131,368.905
1978-04-29,,76.866,86.116,84.09,,32.474,226.095,286.944
1978-04-30,,73.129,88.873,84.09,,25.149,192.991,250.485
1978-05-01,,69.527,86.116,84.09,,25.149,175.851,220.302
1978-05-02,,64.929,81.593,78.632,,30.128,180.074,198.014
1978-05-03,,57.424,74.55,70.729,,39.349,266.285,273.377
1978-05-04,,50.575,52.598,61.544,,37.414,289.959,299.474
1978-05-05,,50.575,50.339,56.757,,25.149,200.325,243.401
1978-05-06,,51.515,50.339,55.975,,23.072,148.756,213.529
1978-05-07,,51.515,49.594,55.197,,21.568,128.438,153.687
1978-05-08,,46.065,48.118,55.197,,20.593,123.551,142.174
1978-05-09,,40.254,45.934,52.891,,19.168,114.013,136.049
1978-05-10,,36.446,41.683,44.785,,18.246,110.517,133.028
