,A19086,D19086
2001-09-29,84.0,84.0
2001-09-30,54.49,84.0
2001-10-01,25.98,85.0
2001-10-02,54.49,84.0
2001-10-03,84.0,84.0
2001-10-04,54.49,84.0
2001-10-05,85.0,85.0
2001-10-06,83.0,83.0
2001-10-07,85.0,85.0
2001-10-08,85.0,85.0
2001-10-09,228.55,81.0
2001-10-10,70.0,70.0
2001-10-11,99.51,70.0
2001-10-12,155.53,67.0
2001-10-13,185.04,67.0
2001-10-14,155.53,67.0
2001-10-15,96.51,67.0
2001-10-16,184.04,66.0
2001-10-17,239.06,62.0
2001-10-18,91.51,62.0
2001-10-19,180.04,62.0
2001-10-20,90.51,61.0
2001-10-21,357.09,62.0
2001-10-22,149.53,61.0
2001-10-23,122.02,63.0
2001-10-24,64.0,64.0
2001-10-25,69.0,69.0
2001-10-26,81.0,81.0
2001-10-27,51.49,81.0
2001-10-28,20.98,80.0
2001-10-29,50.49,80.0
2001-10-30,139.02,80.0
2001-10-31,80.0,80.0
2001-11-01,140.02,81.0
2001-11-02,74.0,74.0
2001-11-03,66.0,66.0
2001-11-04,66.0,66.0
2001-11-05,65.0,65.0
2001-11-06,95.51,66.0
2001-11-07,70.0,70.0
2001-11-08,103.5,70.0
2001-11-09,28.5,62.0
2001-11-10,97.5,64.0
2001-11-11,70.0,70.0
2001-11-12,76.0,76.0
2001-11-13,42.5,76.0
2001-11-14,75.0,75.0
2001-11-15,113.5,80.0
2001-11-16,344.97,77.0
2001-11-17,212.98,79.0
2001-11-18,478.97,77.0
2001-11-19,265.97,65.0
2001-11-20,203.49,36.0
2001-11-21,292.96,25.0
2001-11-22,124.5,24.0
2001-11-23,68.5,35.0
2001-11-24,99.5,66.0
2001-11-25,166.49,66.0
2001-11-26,99.5,66.0
2001-11-27,132.0,65.0
2001-11-28,93.5,60.0
2001-11-29,189.98,56.0
2001-11-30,150.49,50.0
2001-12-01,229.98,29.0
2001-12-02,162.98,29.0
2001-12-03,430.97,29.0
2001-12-04,745.43,28.0
2001-12-05,458.99,29.0
2001-12-06,529.66,28.0
2001-12-07,529.64,28.0
2001-12-08,314.67,28.0
2001-12-09,601.31,28.0
2001-12-10,533.66,32.0
2001-12-11,359.49,37.0
2001-12-12,344.38,28.0
2001-12-13,323.99,29.0
2001-12-14,371.77,44.0
2001-12-15,488.88,30.0
2001-12-16,322.99,28.0
2001-12-17,529.64,38.0
2001-12-18,323.21,61.0
2001-12-19,454.1,28.0
2001-12-20,552.42,28.0
2001-12-21,706.48,28.0
2001-12-22,902.81,27.0
2001-12-23,793.33,27.0
2001-12-24,939.3,27.0
2001-12-25,391.92,27.0
2001-12-26,323.44,27.0
2001-12-27,288.97,61.0
2001-12-28,382.97,79.0
2001-12-29,762.91,79.0
2001-12-30,800.91,79.0
2001-12-31,533.95,78.0
2002-01-01,404.0,62.0
2002-01-02,441.0,61.0
2002-01-03,388.0,122.0
2002-01-04,311.0,121.0
2002-01-05,192.0,78.0
2002-01-06,-68301.0,122.0
2002-01-07,68795.0,95.0
2002-01-08,382.0,105.0
2002-01-09,489.0,173.0
2002-01-10,719.0,245.0
2002-01-11,1420.0,234.0
2002-01-12,1538.0,233.0
2002-01-13,979.0,211.0
2002-01-14,889.0,196.0
2002-01-15,696.0,220.0
2002-01-16,799.0,236.0
2002-01-17,515.0,255.0
2002-01-18,368.0,281.0
2002-01-19,294.0,294.0
2002-01-20,224.0,224.0
2002-01-21,330.0,243.0
2002-01-22,281.0,281.0
2002-01-23,187.0,274.0
2002-01-24,264.0,264.0
2002-01-25,164.0,251.0
2002-01-26,186.0,229.0
2002-01-27,-74699.0,275.0
2002-01-28,75119.0,275.0
2002-01-29,158.0,245.0
2002-01-30,188.0,275.0
2002-01-31,202.0,245.0
2002-02-01,136.0,266.0
2002-02-02,361.0,231.0
2002-02-03,275.0,275.0
2002-02-04,189.0,276.0
2002-02-05,232.0,275.0
2002-02-06,337.0,250.0
2002-02-07,287.0,200.0
2002-02-08,617.0,184.0
2002-02-09,620.0,274.0
2002-02-10,750.0,274.0
2002-02-11,617.0,227.0
2002-02-12,358.0,271.0
2002-02-13,273.0,273.0
2002-02-14,251.0,251.0
2002-02-15,331.0,244.0
2002-02-16,403.0,273.0
2002-02-17,332.0,245.0
2002-02-18,364.0,202.0
2002-02-19,426.0,223.0
2002-02-20,387.0,265.0
2002-02-21,876.0,228.0
2002-02-22,758.0,272.0
2002-02-23,879.0,271.0
2002-02-24,668.0,263.0
2002-02-25,464.0,221.0
2002-02-26,1081.0,270.0
2002-02-27,1370.0,215.0
2002-02-28,951.0,244.0
2002-03-01,669.0,211.0
2002-03-02,578.0,204.0
2002-03-03,410.0,244.0
2002-03-04,396.0,188.0
2002-03-05,518.0,144.0
2002-03-06,297.0,172.0
2002-03-07,411.0,161.0
2002-03-08,302.0,177.0
2002-03-09,255.0,213.0
2002-03-10,353.0,270.0
2002-03-11,418.0,252.0
2002-03-12,225.0,183.0
2002-03-13,222.0,264.0
2002-03-14,177.0,219.0
2002-03-15,164.0,247.0
2002-03-16,182.0,265.0
2002-03-17,183.0,266.0
2002-03-18,141.0,224.0
2002-03-19,224.0,266.0
2002-03-20,208.0,208.0
2002-03-21,137.0,220.0
2002-03-22,398.0,190.0
2002-03-23,676.0,135.0
2002-03-24,307.0,265.0
2002-03-25,861.0,226.0
2002-03-26,627.0,236.0
2002-03-27,946.0,214.0
2002-03-28,833.0,247.0
2002-03-29,405.0,307.0
2002-03-30,309.0,309.0
2002-03-31,183.0,329.0
2002-04-01,273.0,273.0
2002-04-02,274.0,274.0
2002-04-03,178.0,325.0
2002-04-04,216.0,314.0
2002-04-05,104.0,299.0
2002-04-06,151.0,297.0
2002-04-07,83.0,327.0
2002-04-08,235.0,333.0
2002-04-09,222.0,320.0
2002-04-10,19.0,312.0
2002-04-11,147.0,245.0
2002-04-12,139.0,237.0
2002-04-13,100.0,149.0
2002-04-14,251.0,104.0
2002-04-15,107.0,107.0
2002-04-16,215.0,117.0
2002-04-17,142.0,142.0
2002-04-18,154.0,154.0
2002-04-19,143.0,143.0
2002-04-20,129.0,129.0
2002-04-21,101.0,296.0
2002-04-22,127.0,176.0
2002-04-23,128.0,128.0
2002-04-24,83.0,132.0
2002-04-25,89.0,138.0
2002-04-26,71.0,120.0
2002-04-27,143.0,289.0
2002-04-28,122.0,268.0
2002-04-29,78.0,273.0
2002-04-30,122.0,261.0
2002-05-01,89.0,297.0
2002-05-02,162.0,204.0
2002-05-03,108.0,108.0
2002-05-04,160.0,77.0
2002-05-05,95.0,53.0
2002-05-06,129.0,129.0
2002-05-07,137.0,95.0
2002-05-08,207.0,82.0
2002-05-09,142.0,93.0
2002-05-10,76.0,125.0
2002-05-11,165.0,207.0
2002-05-12,53.0,178.0
2002-05-13,122.0,164.0
2002-05-14,78.0,120.0
2002-05-15,85.0,168.0
2002-05-16,83.0,125.0
2002-05-17,125.0,167.0
2002-05-18,91.0,174.0
2002-05-19,91.0,174.0
2002-05-20,132.0,174.0
2002-05-21,241.0,116.0
2002-05-22,116.0,116.0
2002-05-23,115.0,115.0
2002-05-24,74.0,116.0
2002-05-25,74.0,116.0
2002-05-26,116.0,116.0
2002-05-27,74.0,116.0
2002-05-28,74.0,116.0
2002-05-29,74.0,116.0
2002-05-30,77.0,119.0
2002-05-31,97.0,139.0
2002-06-01,42.0,125.0
2002-06-02,107.0,149.0
2002-06-03,86.0,128.0
2002-06-04,40.0,123.0
2002-06-05,75.0,117.0
2002-06-06,74.0,116.0
2002-06-07,77.0,119.0
2002-06-08,74.0,116.0
2002-06-09,116.0,116.0
2002-06-10,33.0,116.0
2002-06-11,116.0,116.0
2002-06-12,33.0,116.0
2002-06-13,74.0,116.0
2002-06-14,74.0,116.0
2002-06-15,-11.0,72.0
2002-06-16,29.0,71.0
2002-06-17,74.0,116.0
2002-06-18,117.0,117.0
2002-06-19,75.0,117.0
2002-06-20,75.0,117.0
2002-06-21,75.0,117.0
2002-06-22,75.0,117.0
2002-06-23,75.0,117.0
2002-06-24,75.0,117.0
2002-06-25,12.0,137.0
2002-06-26,102.0,144.0
2002-06-27,52.0,135.0
2002-06-28,41.0,124.0
2002-06-29,120.0,120.0
2002-06-30,75.0,117.0
2002-07-01,74.0,116.0
2002-07-02,34.0,117.0
2002-07-03,112.0,112.0
2002-07-04,-9.0,116.0
2002-07-05,109.0,151.0
2002-07-06,59.0,142.0
2002-07-07,69.0,152.0
2002-07-08,24.0,190.0
2002-07-09,53.0,136.0
2002-07-10,99.0,141.0
2002-07-11,73.0,156.0
2002-07-12,32.0,157.0
2002-07-13,74.0,157.0
2002-07-14,74.0,157.0
2002-07-15,116.0,158.0
2002-07-16,34.0,159.0
2002-07-17,76.0,159.0
2002-07-18,75.0,158.0
2002-07-19,77.0,160.0
2002-07-20,32.0,157.0
2002-07-21,74.0,157.0
2002-07-22,116.0,158.0
2002-07-23,76.0,159.0
2002-07-24,77.0,159.0
2002-07-25,79.0,160.0
2002-07-26,79.0,160.0
2002-07-27,79.0,160.0
2002-07-28,79.0,160.0
2002-07-29,38.0,160.0
2002-07-30,119.0,160.0
2002-07-31,38.0,160.0
2002-08-01,77.0,158.0
2002-08-02,1.0,152.0
2002-08-03,79.0,160.0
2002-08-04,79.0,160.0
2002-08-05,79.0,160.0
2002-08-06,79.0,160.0
2002-08-07,38.0,160.0
2002-08-08,79.0,160.0
2002-08-09,36.0,158.0
2002-08-10,58.0,139.0
2002-08-11,23.0,145.0
2002-08-12,77.0,158.0
2002-08-13,37.0,159.0
2002-08-14,118.0,159.0
2002-08-15,78.0,159.0
2002-08-16,159.0,159.0
2002-08-17,159.0,159.0
2002-08-18,159.0,159.0
2002-08-19,78.0,159.0
2002-08-20,37.0,159.0
2002-08-21,78.0,159.0
2002-08-22,37.0,159.0
2002-08-23,78.0,159.0
2002-08-24,37.0,159.0
2002-08-25,37.0,159.0
2002-08-26,78.0,159.0
2002-08-27,37.0,159.0
2002-08-28,37.0,159.0
2002-08-29,118.0,159.0
2002-08-30,118.0,118.0
2002-08-31,158.0,159.0
2002-09-01,37.0,159.0
2002-09-02,37.0,159.0
2002-09-03,89.0,251.0
2002-09-04,70.0,263.0
2002-09-05,89.0,262.0
2002-09-06,48.0,264.0
2002-09-07,134.0,264.0
2002-09-08,65.0,195.0
2002-09-09,61.0,234.0
2002-09-10,4.0,264.0
2002-09-11,48.0,264.0
2002-09-12,256.0,264.0
2002-09-13,352.0,265.0
2002-09-14,200.0,265.0
2002-09-15,100.0,265.0
2002-09-16,72.0,245.0
2002-09-17,36.0,252.0
2002-09-18,37.0,253.0
2002-09-19,86.0,216.0
2002-09-20,20.0,236.0
2002-09-21,33.0,249.0
2002-09-22,76.0,249.0
2002-09-23,11.0,227.0
2002-09-24,163.0,250.0
2002-09-25,36.0,252.0
2002-09-26,50.0,248.0
2002-09-27,61.0,180.0
2002-09-28,51.0,249.0
2002-09-29,91.0,249.0
2002-09-30,51.0,249.0
2002-10-01,12.0,249.0
2002-10-02,14.0,251.0
2002-10-03,94.0,252.0
2002-10-04,93.0,251.0
2002-10-05,93.0,251.0
2002-10-06,54.0,252.0
2002-10-07,54.0,252.0
2002-10-08,15.0,252.0
2002-10-09,94.0,252.0
2002-10-10,93.0,251.0
2002-10-11,14.0,251.0
2002-10-12,94.0,252.0
2002-10-13,15.0,252.0
2002-10-14,94.0,252.0
2002-10-15,55.0,253.0
2002-10-16,55.0,253.0
2002-10-17,64.0,254.0
2002-10-18,102.0,254.0
2002-10-19,135.0,249.0
2002-10-20,26.0,254.0
2002-10-21,24.0,252.0
2002-10-22,25.0,190.0
2002-10-23,163.0,201.0
2002-10-24,22.0,212.0
2002-10-25,37.0,189.0
2002-10-26,27.0,255.0
2002-10-27,27.0,255.0
2002-10-28,103.0,255.0
2002-10-29,250.0,250.0
2002-10-30,40.0,230.0
2002-10-31,238.0,230.0
2002-11-01,90.0,204.0
2002-11-02,128.0,204.0
2002-11-03,84.0,203.0
2002-11-04,621.0,203.0
2002-11-05,243.0,167.0
2002-11-06,167.0,167.0
2002-11-07,167.0,167.0
2002-11-08,53.0,167.0
2002-11-09,166.0,166.0
2002-11-10,206.0,168.0
2002-11-11,317.0,165.0
2002-11-12,203.0,165.0
2002-11-13,165.0,165.0
2002-11-14,167.0,167.0
2002-11-15,167.0,167.0
2002-11-16,53.0,167.0
2002-11-17,91.0,167.0
2002-11-18,91.0,167.0
2002-11-19,16.0,168.0
2002-11-20,91.0,167.0
2002-11-21,52.0,166.0
2002-11-22,93.0,169.0
2002-11-23,166.0,166.0
2002-11-24,204.0,166.0
2002-11-25,162.0,162.0
2002-11-26,92.0,168.0
2002-11-27,130.0,168.0
2002-11-28,130.0,168.0
2002-11-29,91.0,167.0
2002-11-30,128.0,166.0
2002-12-01,52.0,166.0
2002-12-02,88.0,164.0
2002-12-03,191.0,167.0
2002-12-04,129.0,167.0
2002-12-05,91.0,167.0
2002-12-06,129.0,167.0
2002-12-07,15.0,167.0
2002-12-08,92.0,168.0
2002-12-09,91.0,167.0
2002-12-10,92.0,168.0
2002-12-11,320.0,168.0
2002-12-12,472.0,168.0
2002-12-13,283.0,169.0
2002-12-14,282.0,168.0
2002-12-15,624.0,168.0
2002-12-16,472.0,168.0
2002-12-17,320.0,168.0
2002-12-18,205.0,167.0
2002-12-19,205.0,167.0
2002-12-20,168.0,168.0
2002-12-21,242.0,166.0
2002-12-22,165.0,165.0
2002-12-23,165.0,165.0
2002-12-24,129.0,167.0
2002-12-25,52.0,166.0
2002-12-26,90.0,166.0
2002-12-27,280.0,166.0
2002-12-28,167.0,167.0
2002-12-29,165.0,165.0
2002-12-30,204.0,166.0
2002-12-31,354.0,164.0
2003-01-01,355.0,165.0
2003-01-02,279.0,165.0
2003-01-03,355.0,165.0
2003-01-04,393.0,165.0
2003-01-05,545.0,165.0
2003-01-06,392.0,164.0
2003-01-07,280.0,166.0
2003-01-08,240.0,164.0
2003-01-09,394.0,166.0
2003-01-10,204.0,166.0
2003-01-11,203.0,165.0
2003-01-12,204.0,166.0
2003-01-13,242.0,166.0
2003-01-14,204.0,166.0
2003-01-15,166.0,166.0
2003-01-16,319.0,164.0
2003-01-17,244.0,165.0
2003-01-18,877.0,165.0
2003-01-19,560.0,165.0
2003-01-20,-69523.0,165.0
2003-01-21,70406.0,164.0
2003-01-22,243.0,164.0
2003-01-23,486.0,170.0
2003-01-24,759.0,205.0
2003-01-25,750.0,236.0
2003-01-26,400.0,242.0
2003-01-27,589.0,273.0
2003-01-28,508.0,267.0
2003-01-29,442.0,269.0
2003-01-30,449.0,276.0
2003-01-31,444.0,271.0
2003-02-01,817.0,254.0
2003-02-02,558.0,168.0
2003-02-03,490.0,230.0
2003-02-04,377.0,247.0
2003-02-05,539.0,279.0
2003-02-06,322.0,279.0
2003-02-07,365.0,278.0
2003-02-08,278.0,278.0
2003-02-09,235.0,278.0
2003-02-10,191.0,278.0
2003-02-11,140.0,270.0
2003-02-12,169.0,256.0
2003-02-13,259.0,216.0
2003-02-14,465.0,205.0
2003-02-15,454.0,205.0
2003-02-16,638.0,205.0
2003-02-17,334.0,204.0
2003-02-18,456.0,196.0
2003-02-19,411.0,195.0
2003-02-20,412.0,196.0
2003-02-21,495.0,192.0
2003-02-22,455.0,195.0
2003-02-23,356.0,194.0
2003-02-24,439.0,196.0
2003-02-25,358.0,196.0
2003-02-26,276.0,195.0
2003-02-27,253.0,253.0
2003-02-28,173.0,254.0
2003-03-01,254.0,254.0
2003-03-02,173.0,254.0
2003-03-03,295.0,254.0
2003-03-04,295.0,254.0
2003-03-05,173.0,254.0
2003-03-06,172.0,253.0
2003-03-07,173.0,254.0
2003-03-08,172.0,253.0
2003-03-09,254.0,254.0
2003-03-10,217.0,258.0
2003-03-11,254.0,254.0
2003-03-12,328.0,247.0
2003-03-13,294.0,253.0
2003-03-14,212.0,253.0
2003-03-15,496.0,253.0
2003-03-16,334.0,253.0
2003-03-17,375.0,253.0
2003-03-18,415.0,253.0
2003-03-19,456.0,253.0
2003-03-20,252.0,252.0
2003-03-21,333.0,252.0
2003-03-22,779.0,252.0
2003-03-23,818.0,251.0
2003-03-24,900.0,251.0
2003-03-25,697.0,251.0
2003-03-26,696.0,250.0
2003-03-27,702.0,250.0
2003-03-28,476.0,268.0
2003-03-29,484.0,276.0
2003-03-30,359.0,276.0
2003-03-31,567.0,276.0
2003-04-01,513.0,180.0
2003-04-02,401.0,276.0
2003-04-03,421.0,338.0
2003-04-04,258.0,341.0
2003-04-05,632.0,341.0
2003-04-06,575.0,325.0
2003-04-07,383.0,341.0
2003-04-08,284.0,367.0
2003-04-09,368.0,368.0
2003-04-10,592.0,342.0
2003-04-11,740.0,366.0
2003-04-12,491.0,366.0
2003-04-13,283.0,366.0
2003-04-14,262.0,345.0
2003-04-15,248.0,331.0
2003-04-16,195.0,361.0
2003-04-17,218.0,301.0
2003-04-18,213.0,296.0
2003-04-19,383.0,300.0
2003-04-20,301.0,301.0
2003-04-21,426.0,301.0
2003-04-22,172.0,297.0
2003-04-23,242.0,367.0
2003-04-24,118.0,368.0
2003-04-25,190.0,356.0
2003-04-26,161.0,369.0
2003-04-27,129.0,212.0
2003-04-28,110.0,276.0
2003-04-29,176.0,259.0
2003-04-30,110.0,276.0
2003-05-01,166.0,249.0
2003-05-02,158.0,241.0
2003-05-03,67.0,233.0
2003-05-04,142.0,225.0
2003-05-05,218.0,218.0
2003-05-06,87.0,212.0
2003-05-07,201.0,201.0
2003-05-08,159.0,201.0
2003-05-09,108.0,191.0
2003-05-10,111.0,194.0
2003-05-11,81.0,164.0
2003-05-12,139.0,181.0
2003-05-13,77.0,201.0
2003-05-14,121.0,202.0
2003-05-15,121.0,202.0
2003-05-16,121.0,202.0
2003-05-17,80.0,202.0
2003-05-18,80.0,202.0
2003-05-19,161.0,202.0
2003-05-20,79.0,201.0
2003-05-21,79.0,201.0
2003-05-22,79.0,201.0
2003-05-23,160.0,201.0
2003-05-24,201.0,201.0
2003-05-25,197.0,197.0
2003-05-26,161.0,202.0
2003-05-27,39.0,201.0
2003-05-28,173.0,214.0
2003-05-29,121.0,202.0
2003-05-30,80.0,202.0
2003-05-31,112.0,193.0
2003-06-01,68.0,190.0
2003-06-02,98.0,179.0
2003-06-03,90.0,171.0
2003-06-04,86.0,167.0
2003-06-05,86.0,167.0
2003-06-06,126.0,167.0
2003-06-07,86.0,167.0
2003-06-08,45.0,167.0
2003-06-09,167.0,167.0
2003-06-10,93.0,174.0
2003-06-11,47.0,169.0
2003-06-12,126.0,167.0
2003-06-13,45.0,167.0
2003-06-14,126.0,167.0
2003-06-15,37.0,159.0
2003-06-16,126.0,167.0
2003-06-17,86.0,167.0
2003-06-18,88.0,169.0
2003-06-19,46.0,168.0
2003-06-20,87.0,168.0
2003-06-21,126.0,167.0
2003-06-22,45.0,167.0
2003-06-23,86.0,167.0
2003-06-24,45.0,167.0
2003-06-25,86.0,167.0
2003-06-26,126.0,167.0
2003-06-27,45.0,167.0
2003-06-28,86.0,167.0
2003-06-29,83.0,164.0
2003-06-30,45.0,167.0
2003-07-01,67.0,145.0
2003-07-02,117.0,160.0
2003-07-03,26.0,156.0
2003-07-04,66.0,153.0
2003-07-05,26.0,156.0
2003-07-06,30.0,159.0
2003-07-07,26.0,74.0
2003-07-08,73.0,160.0
2003-07-09,73.0,156.0
2003-07-10,67.0,154.0
2003-07-11,31.0,161.0
2003-07-12,74.0,161.0
2003-07-13,74.0,161.0
2003-07-14,75.0,162.0
2003-07-15,73.0,160.0
2003-07-16,30.0,160.0
2003-07-17,31.0,161.0
2003-07-18,117.0,160.0
2003-07-19,160.0,160.0
2003-07-20,160.0,160.0
2003-07-21,75.0,162.0
2003-07-22,32.0,162.0
2003-07-23,70.0,157.0
2003-07-24,25.0,155.0
2003-07-25,154.0,154.0
2003-07-26,-12.0,161.0
2003-07-27,119.0,162.0
2003-07-28,32.0,162.0
2003-07-29,75.0,162.0
2003-07-30,32.0,162.0
2003-07-31,32.0,162.0
2003-08-01,75.0,162.0
2003-08-02,32.0,162.0
2003-08-03,33.0,163.0
2003-08-04,76.0,163.0
2003-08-05,33.0,163.0
2003-08-06,76.0,160.0
2003-08-07,33.0,163.0
2003-08-08,76.0,163.0
2003-08-09,33.0,163.0
2003-08-10,33.0,163.0
2003-08-11,120.0,163.0
2003-08-12,30.0,162.0
2003-08-13,117.0,157.0
2003-08-14,95.0,154.0
2003-08-15,35.0,154.0
2003-08-16,36.0,155.0
2003-08-17,36.0,155.0
2003-08-18,76.0,155.0
2003-08-19,36.0,155.0
2003-08-20,68.0,147.0
2003-08-21,28.0,147.0
2003-08-22,107.0,147.0
2003-08-23,28.0,147.0
2003-08-24,59.0,138.0
2003-08-25,59.0,138.0
2003-08-26,19.0,138.0
2003-08-27,19.0,138.0
2003-08-28,59.0,138.0
2003-08-29,67.0,146.0
2003-08-30,19.0,138.0
2003-08-31,98.0,138.0
2003-09-01,19.0,138.0
2003-09-02,50.0,129.0
2003-09-03,89.0,129.0
2003-09-04,50.0,129.0
2003-09-05,50.0,129.0
2003-09-06,30.0,129.0
2003-09-07,50.0,129.0
2003-09-08,90.0,130.0
2003-09-09,50.0,129.0
2003-09-10,129.0,129.0
2003-09-11,10.0,129.0
2003-09-12,10.0,129.0
2003-09-13,50.0,129.0
2003-09-14,89.0,129.0
2003-09-15,50.0,129.0
2003-09-16,90.0,130.0
